,alignment,condition,time_screen,sub,age,gender,cohort
51,misaligned,same,1.3916666666666666,KUJ4UH,4.438356164383562,m,Expt2_Cohort2
52,misaligned,same,0.8118181818181818,24DFVB,5.589041095890411,m,Expt2_Cohort2
53,misaligned,same,1.5090909090909093,FE5VWR,6.739726027397261,m,Expt2_Cohort2
54,misaligned,same,0.6272727272727272,3AcJCP,5.671232876712328,m,Expt2_Cohort2
55,misaligned,same,1.2463636363636363,KJFKY6,4.273972602739726,f,Expt2_Cohort2
56,misaligned,same,6.402727272727273,SCF4A4,5.095890410958904,m,Expt2_Cohort2
57,misaligned,same,2.3136363636363635,647PWM,6.328767123287672,f,Expt2_Cohort2
58,misaligned,same,1.0666666666666667,dK4AG7,4.684931506849315,f,Expt2_Cohort2
59,misaligned,same,1.1666666666666667,4YRELY,6.493150684931507,f,Expt2_Cohort2
60,misaligned,same,1.3918181818181816,654ADc,4.273972602739726,f,Expt2_Cohort2
61,misaligned,same,3.515833333333333,W3DCM6,4.767123287671233,f,Expt2_Cohort2
62,misaligned,same,2.533333333333333,5WST6D,4.109589041095891,f,Expt2_Cohort2
63,misaligned,same,4.183333333333334,VPXS3R,4.109589041095891,f,Expt2_Cohort2
64,misaligned,same,2.128,cMTPEE,5.424657534246576,f,Expt2_Cohort2
65,misaligned,same,4.127272727272728,KPNSX4,5.013698630136986,f,Expt2_Cohort2
66,misaligned,same,5.308333333333334,HGFXAC,6.739726027397261,m,Expt2_Cohort2
67,misaligned,same,3.1818181818181817,5PUUT3,4.8493150684931505,f,Expt2_Cohort2
68,misaligned,same,3.1441666666666666,LLVdBD,5.671232876712328,m,Expt2_Cohort2
69,misaligned,same,1.8909090909090907,NMCY2E,4.8493150684931505,f,Expt2_Cohort2
70,misaligned,same,4.204545454545454,N7N6QJ,5.835616438356165,f,Expt2_Cohort2
71,misaligned,same,5.54,B4J7AH,5.7534246575342465,m,Expt2_Cohort2
72,misaligned,same,17.145454545454548,557QS4,5.260273972602739,m,Expt2_Cohort2
73,misaligned,same,2.472727272727273,GYZRTE,6.575342465753424,m,Expt2_Cohort2
74,misaligned,same,6.764545454545455,B42MVZ,6.410958904109589,m,Expt2_Cohort2
75,misaligned,same,3.4727272727272736,WCW4P3,5.342465753424658,f,Expt2_Cohort2
76,misaligned,same,1.4727272727272727,dCBR4J,4.273972602739726,f,Expt2_Cohort2
77,misaligned,same,2.6774999999999998,7WdEYG,6.164383561643835,m,Expt2_Cohort2
78,misaligned,same,2.475,2VdMPK,4.767123287671233,m,Expt2_Cohort2
79,misaligned,same,3.791666666666666,7TcFJA,6.164383561643835,f,Expt2_Cohort2
80,misaligned,same,1.3363636363636364,PLS76N,4.3561643835616435,m,Expt2_Cohort2
81,misaligned,same,2.1363636363636362,VFMYRA,6.328767123287672,m,Expt2_Cohort2
82,misaligned,same,2.6045454545454545,HXGHY5,5.178082191780822,na,Expt2_Cohort2
83,misaligned,same,3.1154545454545457,QWUB76,5.095890410958904,f,Expt2_Cohort2
84,misaligned,same,1.816666666666667,Ud4B2K,6.986301369863014,f,Expt2_Cohort2
85,misaligned,same,5.075,NW7HB3,5.835616438356165,f,Expt2_Cohort2
86,misaligned,same,1.9090909090909094,XWScUc,5.178082191780822,f,Expt2_Cohort2
87,misaligned,same,2.424166666666667,ZVJDEU,5.7534246575342465,f,Expt2_Cohort2
88,misaligned,same,1.7545454545454542,QNMB4N,6.0,m,Expt2_Cohort2
89,misaligned,same,3.265833333333333,LSc3FM,4.3561643835616435,m,Expt2_Cohort2
90,misaligned,same,7.909166666666667,F4G4FM,4.438356164383562,m,Expt2_Cohort2
91,misaligned,same,2.2700000000000005,2NP5LU,6.2465753424657535,f,Expt2_Cohort2
92,misaligned,same,2.200909090909091,22Q73C,6.493150684931507,f,Expt2_Cohort2
93,misaligned,same,2.036363636363636,TSGcWM,4.273972602739726,f,Expt2_Cohort2
94,misaligned,same,3.909090909090909,6EQ6ZY,4.767123287671233,m,Expt2_Cohort2
95,misaligned,same,0.9083333333333332,DGU5G3,6.575342465753424,m,Expt2_Cohort2
96,misaligned,same,3.458333333333334,SM5UPX,4.273972602739726,f,Expt2_Cohort2
97,misaligned,same,4.333333333333333,R3PcJY,4.273972602739726,f,Expt2_Cohort2
98,misaligned,same,2.4481818181818187,UZUdUB,4.191780821917808,f,Expt2_Cohort2
99,misaligned,same,3.125,2Z6TXF,6.739726027397261,m,Expt2_Cohort2
100,misaligned,same,5.108333333333333,DEGFRM,6.904109589041096,f,Expt2_Cohort2
101,misaligned,same,7.091666666666668,XXNMVF,4.684931506849315,m,Expt2_Cohort2
102,misaligned,same,1.5333333333333334,SYZ6JW,4.027397260273973,m,Expt2_Cohort2
103,misaligned,same,2.6999999999999997,DC7YSY,6.0,m,Expt2_Cohort2
104,misaligned,same,1.8090909090909089,MQRYdH,4.191780821917808,m,Expt2_Cohort2
105,misaligned,same,2.425,UTQMDV,5.917808219178082,m,Expt2_Cohort2
106,misaligned,same,3.9583333333333335,Yd4MNZ,5.342465753424658,m,Expt2_Cohort2
107,misaligned,same,2.516666666666667,PBcE6K,4.767123287671233,m,Expt2_Cohort2
108,misaligned,same,5.163636363636363,T2PY42,6.410958904109589,F,Expt2_Cohort2
109,misaligned,same,1.4500000000000002,WMS3PY,6.904109589041096,m,Expt2_Cohort2
110,misaligned,same,1.8599999999999999,XJLS5V,5.671232876712328,f,Expt2_Cohort2
111,misaligned,same,6.59090909090909,JZTW76,5.342465753424658,m,Expt2_Cohort2
112,misaligned,same,1.8299999999999996,B6ETF6,4.602739726027397,m,Expt2_Cohort2
113,misaligned,same,3.9091666666666662,TPV3Q3,4.931506849315069,f,Expt2_Cohort2
114,misaligned,same,1.7281818181818183,67R3AH,6.493150684931507,m,Expt2_Cohort2
115,misaligned,same,3.754545454545455,252KT2,6.410958904109589,m,Expt2_Cohort2
116,misaligned,same,3.0,EAFAHH,4.273972602739726,m,Expt2_Cohort2
117,misaligned,same,1.3083333333333333,SHNYH5,4.767123287671233,m,Expt2_Cohort2
118,misaligned,same,2.346363636363637,LSABCP,6.0,f,Expt2_Cohort2
119,misaligned,same,1.8727272727272726,F6cPS4,4.602739726027397,f,Expt2_Cohort2
120,misaligned,same,2.8272727272727276,M7W4BK,4.602739726027397,f,Expt2_Cohort2
121,misaligned,same,0.9545454545454544,MP5CJd,5.917808219178082,f,Expt2_Cohort2
122,misaligned,same,1.028,K2RcW2,4.3561643835616435,m,Expt2_Cohort2
123,misaligned,same,2.7727272727272725,3DG23J,4.3561643835616435,f,Expt2_Cohort2
124,misaligned,same,5.208333333333333,WGQAFG,6.493150684931507,m,Expt2_Cohort2
125,misaligned,same,5.666666666666667,XX2TNH,4.027397260273973,f,Expt2_Cohort2
126,misaligned,same,7.518999999999998,N2GA2B,4.191780821917808,m,Expt2_Cohort2
127,misaligned,same,1.8181818181818186,YXd62F,4.438356164383562,f,Expt2_Cohort2
128,misaligned,same,2.109166666666667,P2J3BQ,4.027397260273973,f,Expt2_Cohort2
129,misaligned,same,1.7909090909090912,c3FCXX,5.178082191780822,f,Expt2_Cohort2
130,aligned,same,0.8545454545454544,2RWWZ7,6.493150684931507,f,Expt2_Cohort1
131,aligned,same,3.8000000000000003,NJdNH4,6.2465753424657535,f,Expt2_Cohort1
132,aligned,same,2.0833333333333335,WJVWWU,4.684931506849315,m,Expt2_Cohort1
133,aligned,same,0.5818181818181817,CAT4ZG,6.410958904109589,m,Expt2_Cohort1
134,aligned,same,1.5727272727272728,2WP74c,4.3561643835616435,m,Expt2_Cohort1
135,aligned,same,4.8790000000000004,EASJMJ,4.602739726027397,m,Expt2_Cohort1
136,aligned,same,1.9416666666666664,DCQcGU,6.2465753424657535,m,Expt2_Cohort1
137,aligned,same,2.390909090909091,CDJG6B,4.191780821917808,m,Expt2_Cohort1
138,aligned,same,2.1272727272727274,GHVHK6,6.904109589041096,m,Expt2_Cohort1
139,aligned,same,3.19,637KXW,4.602739726027397,m,Expt2_Cohort1
140,aligned,same,1.2363636363636366,ZLTdXJ,6.575342465753424,f,Expt2_Cohort1
141,aligned,same,3.3899999999999997,TMYEYX,6.986301369863014,f,Expt2_Cohort1
142,aligned,same,1.5718181818181818,cULKQ4,5.7534246575342465,f,Expt2_Cohort1
143,aligned,same,0.9883333333333334,3VTF4d,4.931506849315069,f,Expt2_Cohort1
144,aligned,same,3.5500000000000003,BVATJP,5.589041095890411,m,Expt2_Cohort1
145,aligned,same,3.8600000000000008,66KR2A,6.739726027397261,m,Expt2_Cohort1
146,aligned,same,3.5083333333333333,Z6A6HA,5.095890410958904,f,Expt2_Cohort1
147,aligned,same,1.8299999999999996,4GHD47,6.821917808219178,m,Expt2_Cohort1
148,aligned,same,5.400000000000001,RBPFW2,5.424657534246576,f,Expt2_Cohort1
149,aligned,same,2.3000000000000003,JT3dCQ,5.671232876712328,f,Expt2_Cohort1
150,aligned,same,1.5,ZPTAAN,5.671232876712328,m,Expt2_Cohort1
151,aligned,same,4.03,SQTVTK,4.438356164383562,f,Expt2_Cohort1
152,aligned,same,1.5363636363636362,QFZJCK,6.328767123287672,f,Expt2_Cohort1
153,aligned,same,2.224166666666667,5MPU6P,4.931506849315069,m,Expt2_Cohort1
154,aligned,same,1.7999999999999998,PRCGVE,5.178082191780822,m,Expt2_Cohort1
155,aligned,same,4.058333333333334,2XXKHX,5.424657534246576,m,Expt2_Cohort1
156,aligned,same,1.8,WdYBcR,6.493150684931507,f,Expt2_Cohort1
157,aligned,same,0.47750000000000004,SNQL5Q,5.095890410958904,f,Expt2_Cohort1
158,aligned,same,2.858333333333334,D3FQFL,4.684931506849315,m,Expt2_Cohort1
159,aligned,same,1.6658333333333333,LZ4VF4,6.082191780821918,f,Expt2_Cohort1
160,aligned,same,1.8,HU53KP,4.602739726027397,m,Expt2_Cohort1
161,aligned,same,3.6,JY3YHZ,7.1506849315068495,f,Expt2_Cohort1
162,aligned,same,5.828181818181818,EFUU5P,4.438356164383562,m,Expt2_Cohort1
163,aligned,same,1.0333333333333334,NGd6cH,6.164383561643835,m,Expt2_Cohort1
164,aligned,same,3.59909090909091,JYcPYS,4.767123287671233,m,Expt2_Cohort1
165,aligned,same,3.3333333333333335,R4MQRD,5.7534246575342465,m,Expt2_Cohort2
166,aligned,same,12.781818181818181,63ZA2G,4.438356164383562,f,Expt2_Cohort2
167,aligned,same,2.6166666666666667,D7cQVV,4.3561643835616435,m,Expt2_Cohort2
168,aligned,same,3.3624999999999994,ZcTHZD,4.273972602739726,m,Expt2_Cohort2
169,aligned,same,3.436363636363637,BHVRZB,6.657534246575342,m,Expt2_Cohort2
170,aligned,same,1.570833333333333,FRcVX2,6.0,f,Expt2_Cohort2
171,aligned,same,2.4354545454545455,XAZZBC,4.027397260273973,m,Expt2_Cohort2
172,aligned,same,1.1749999999999998,GH7E3L,5.095890410958904,m,Expt2_Cohort2
173,aligned,same,3.763636363636364,GXPFJT,4.438356164383562,f,Expt2_Cohort2
174,aligned,same,2.972727272727273,UULEZL,4.52054794520548,m,Expt2_Cohort2
175,aligned,same,3.6910000000000003,42SYQN,4.767123287671233,f,Expt2_Cohort2
176,aligned,same,0.9090909090909091,PdQGGK,4.602739726027397,m,Expt2_Cohort2
177,aligned,same,7.7,FV6UMK,4.767123287671233,m,Expt2_Cohort2
178,aligned,same,3.716666666666667,P53E43,6.904109589041096,f,Expt2_Cohort2
179,aligned,same,1.1,BM53dR,4.52054794520548,m,Expt2_Cohort2
180,aligned,same,1.3454545454545455,YUCc6Z,6.986301369863014,f,Expt2_Cohort2
181,aligned,same,1.3545454545454545,KUJ4UH,4.438356164383562,m,Expt2_Cohort2
182,aligned,same,1.1663636363636363,24DFVB,5.589041095890411,m,Expt2_Cohort2
183,aligned,same,1.5454545454545454,FE5VWR,6.739726027397261,m,Expt2_Cohort2
184,aligned,same,1.0250000000000001,3AcJCP,5.671232876712328,m,Expt2_Cohort2
185,aligned,same,1.7745454545454549,KJFKY6,4.273972602739726,f,Expt2_Cohort2
186,aligned,same,5.2825,SCF4A4,5.095890410958904,m,Expt2_Cohort2
187,aligned,same,1.8172727272727274,647PWM,6.328767123287672,f,Expt2_Cohort2
188,aligned,same,0.8536363636363634,dK4AG7,4.684931506849315,f,Expt2_Cohort2
189,aligned,same,1.43,4YRELY,6.493150684931507,f,Expt2_Cohort2
190,aligned,same,1.2416666666666667,654ADc,4.273972602739726,f,Expt2_Cohort2
191,aligned,same,2.6381818181818186,W3DCM6,4.767123287671233,f,Expt2_Cohort2
192,aligned,same,6.8933333333333335,5WST6D,4.109589041095891,f,Expt2_Cohort2
193,aligned,same,3.641666666666667,VPXS3R,4.109589041095891,f,Expt2_Cohort2
194,aligned,same,2.1216666666666666,cMTPEE,5.424657534246576,f,Expt2_Cohort2
195,aligned,same,7.545454545454544,KPNSX4,5.013698630136986,f,Expt2_Cohort2
196,aligned,same,12.727272727272727,HGFXAC,6.739726027397261,m,Expt2_Cohort2
197,aligned,same,2.8181818181818183,5PUUT3,4.8493150684931505,f,Expt2_Cohort2
198,aligned,same,4.688000000000001,LLVdBD,5.671232876712328,m,Expt2_Cohort2
199,aligned,same,1.3416666666666666,NMCY2E,4.8493150684931505,f,Expt2_Cohort2
200,aligned,same,4.137,N7N6QJ,5.835616438356165,f,Expt2_Cohort2
201,aligned,same,4.154545454545455,B4J7AH,5.7534246575342465,m,Expt2_Cohort2
202,aligned,same,16.6825,557QS4,5.260273972602739,m,Expt2_Cohort2
203,aligned,same,1.7554545454545456,GYZRTE,6.575342465753424,m,Expt2_Cohort2
204,aligned,same,7.441666666666666,B42MVZ,6.410958904109589,m,Expt2_Cohort2
205,aligned,same,4.32,WCW4P3,5.342465753424658,f,Expt2_Cohort2
206,aligned,same,1.4083333333333332,dCBR4J,4.273972602739726,f,Expt2_Cohort2
207,aligned,same,2.8,7WdEYG,6.164383561643835,m,Expt2_Cohort2
208,aligned,same,2.909166666666667,2VdMPK,4.767123287671233,m,Expt2_Cohort2
209,aligned,same,4.266666666666667,7TcFJA,6.164383561643835,f,Expt2_Cohort2
210,aligned,same,1.1272727272727272,PLS76N,4.3561643835616435,m,Expt2_Cohort2
211,aligned,same,3.0,VFMYRA,6.328767123287672,m,Expt2_Cohort2
212,aligned,same,2.1266666666666665,HXGHY5,5.178082191780822,na,Expt2_Cohort2
213,aligned,same,2.6758333333333333,QWUB76,5.095890410958904,f,Expt2_Cohort2
214,aligned,same,1.8250000000000002,Ud4B2K,6.986301369863014,f,Expt2_Cohort2
215,aligned,same,3.7416666666666667,NW7HB3,5.835616438356165,f,Expt2_Cohort2
216,aligned,same,1.6916666666666667,XWScUc,5.178082191780822,f,Expt2_Cohort2
217,aligned,same,2.256363636363636,ZVJDEU,5.7534246575342465,f,Expt2_Cohort2
218,aligned,same,1.8008333333333333,QNMB4N,6.0,m,Expt2_Cohort2
219,aligned,same,3.2181818181818187,LSc3FM,4.3561643835616435,m,Expt2_Cohort2
220,aligned,same,6.600909090909091,F4G4FM,4.438356164383562,m,Expt2_Cohort2
221,aligned,same,1.45,2NP5LU,6.2465753424657535,f,Expt2_Cohort2
222,aligned,same,3.2875,22Q73C,6.493150684931507,f,Expt2_Cohort2
223,aligned,same,1.633333333333333,TSGcWM,4.273972602739726,f,Expt2_Cohort2
224,aligned,same,3.3636363636363638,6EQ6ZY,4.767123287671233,m,Expt2_Cohort2
225,aligned,same,1.4166666666666667,DGU5G3,6.575342465753424,m,Expt2_Cohort2
226,aligned,same,3.5727272727272736,SM5UPX,4.273972602739726,f,Expt2_Cohort2
227,aligned,same,4.364545454545454,R3PcJY,4.273972602739726,f,Expt2_Cohort2
228,aligned,same,2.9572727272727275,UZUdUB,4.191780821917808,f,Expt2_Cohort2
229,aligned,same,4.279999999999999,2Z6TXF,6.739726027397261,m,Expt2_Cohort2
230,aligned,same,3.4454545454545453,DEGFRM,6.904109589041096,f,Expt2_Cohort2
231,aligned,same,8.983333333333334,XXNMVF,4.684931506849315,m,Expt2_Cohort2
232,aligned,same,1.0545454545454547,SYZ6JW,4.027397260273973,m,Expt2_Cohort2
233,aligned,same,2.062727272727273,DC7YSY,6.0,m,Expt2_Cohort2
234,aligned,same,2.54,MQRYdH,4.191780821917808,m,Expt2_Cohort2
235,aligned,same,1.7090909090909088,UTQMDV,5.917808219178082,m,Expt2_Cohort2
236,aligned,same,3.5090909090909093,Yd4MNZ,5.342465753424658,m,Expt2_Cohort2
237,aligned,same,3.85,PBcE6K,4.767123287671233,m,Expt2_Cohort2
238,aligned,same,3.8499999999999996,T2PY42,6.410958904109589,F,Expt2_Cohort2
239,aligned,same,1.7250000000000003,WMS3PY,6.904109589041096,m,Expt2_Cohort2
240,aligned,same,1.883333333333333,XJLS5V,5.671232876712328,f,Expt2_Cohort2
241,aligned,same,4.241666666666667,JZTW76,5.342465753424658,m,Expt2_Cohort2
242,aligned,same,0.9916666666666668,B6ETF6,4.602739726027397,m,Expt2_Cohort2
243,aligned,same,2.437272727272727,TPV3Q3,4.931506849315069,f,Expt2_Cohort2
244,aligned,same,2.908333333333333,67R3AH,6.493150684931507,m,Expt2_Cohort2
245,aligned,same,2.883333333333334,252KT2,6.410958904109589,m,Expt2_Cohort2
246,aligned,same,4.43,EAFAHH,4.273972602739726,m,Expt2_Cohort2
247,aligned,same,1.4666666666666668,SHNYH5,4.767123287671233,m,Expt2_Cohort2
248,aligned,same,2.5333333333333337,LSABCP,6.0,f,Expt2_Cohort2
249,aligned,same,2.475,F6cPS4,4.602739726027397,f,Expt2_Cohort2
250,aligned,same,2.1454545454545455,M7W4BK,4.602739726027397,f,Expt2_Cohort2
251,aligned,same,1.4909090909090907,MP5CJd,5.917808219178082,f,Expt2_Cohort2
252,aligned,same,1.4416666666666667,K2RcW2,4.3561643835616435,m,Expt2_Cohort2
253,aligned,same,1.9727272727272727,3DG23J,4.3561643835616435,f,Expt2_Cohort2
254,aligned,same,4.627272727272728,WGQAFG,6.493150684931507,m,Expt2_Cohort2
255,aligned,same,5.7,XX2TNH,4.027397260273973,f,Expt2_Cohort2
256,aligned,same,4.844545454545455,N2GA2B,4.191780821917808,m,Expt2_Cohort2
257,aligned,same,1.8545454545454545,YXd62F,4.438356164383562,f,Expt2_Cohort2
258,aligned,same,1.94,P2J3BQ,4.027397260273973,f,Expt2_Cohort2
259,aligned,same,2.191666666666667,c3FCXX,5.178082191780822,f,Expt2_Cohort2
260,misaligned,different,2.2399999999999998,2RWWZ7,6.493150684931507,f,Expt2_Cohort1
261,misaligned,different,4.261666666666667,NJdNH4,6.2465753424657535,f,Expt2_Cohort1
262,misaligned,different,1.8399999999999999,WJVWWU,4.684931506849315,m,Expt2_Cohort1
263,misaligned,different,0.15000000000000005,CAT4ZG,6.410958904109589,m,Expt2_Cohort1
264,misaligned,different,1.783333333333333,2WP74c,4.3561643835616435,m,Expt2_Cohort1
265,misaligned,different,5.348333333333334,EASJMJ,4.602739726027397,m,Expt2_Cohort1
266,misaligned,different,3.4666666666666672,DCQcGU,6.2465753424657535,m,Expt2_Cohort1
267,misaligned,different,1.383333333333333,CDJG6B,4.191780821917808,m,Expt2_Cohort1
268,misaligned,different,2.5166666666666666,GHVHK6,6.904109589041096,m,Expt2_Cohort1
269,misaligned,different,1.1833333333333333,637KXW,4.602739726027397,m,Expt2_Cohort1
270,misaligned,different,2.983333333333333,ZLTdXJ,6.575342465753424,f,Expt2_Cohort1
271,misaligned,different,2.5333333333333337,TMYEYX,6.986301369863014,f,Expt2_Cohort1
272,misaligned,different,2.3666666666666667,cULKQ4,5.7534246575342465,f,Expt2_Cohort1
273,misaligned,different,1.4260000000000004,3VTF4d,4.931506849315069,f,Expt2_Cohort1
274,misaligned,different,2.8200000000000003,BVATJP,5.589041095890411,m,Expt2_Cohort1
275,misaligned,different,4.583333333333334,66KR2A,6.739726027397261,m,Expt2_Cohort1
276,misaligned,different,4.6499999999999995,Z6A6HA,5.095890410958904,f,Expt2_Cohort1
277,misaligned,different,1.8833333333333335,4GHD47,6.821917808219178,m,Expt2_Cohort1
278,misaligned,different,2.8666666666666667,RBPFW2,5.424657534246576,f,Expt2_Cohort1
279,misaligned,different,3.12,JT3dCQ,5.671232876712328,f,Expt2_Cohort1
280,misaligned,different,2.35,ZPTAAN,5.671232876712328,m,Expt2_Cohort1
281,misaligned,different,4.711666666666667,SQTVTK,4.438356164383562,f,Expt2_Cohort1
282,misaligned,different,1.633333333333333,QFZJCK,6.328767123287672,f,Expt2_Cohort1
283,misaligned,different,1.7900000000000003,5MPU6P,4.931506849315069,m,Expt2_Cohort1
284,misaligned,different,1.9833333333333334,PRCGVE,5.178082191780822,m,Expt2_Cohort1
285,misaligned,different,3.3333333333333326,2XXKHX,5.424657534246576,m,Expt2_Cohort1
286,misaligned,different,1.5666666666666664,WdYBcR,6.493150684931507,f,Expt2_Cohort1
287,misaligned,different,0.4933333333333334,SNQL5Q,5.095890410958904,f,Expt2_Cohort1
288,misaligned,different,3.254999999999999,D3FQFL,4.684931506849315,m,Expt2_Cohort1
289,misaligned,different,0.9560000000000001,LZ4VF4,6.082191780821918,f,Expt2_Cohort1
290,misaligned,different,1.4799999999999998,HU53KP,4.602739726027397,m,Expt2_Cohort1
291,misaligned,different,3.6333333333333333,JY3YHZ,7.1506849315068495,f,Expt2_Cohort1
292,misaligned,different,3.882,EFUU5P,4.438356164383562,m,Expt2_Cohort1
293,misaligned,different,1.3333333333333333,NGd6cH,6.164383561643835,m,Expt2_Cohort1
294,misaligned,different,4.34,JYcPYS,4.767123287671233,m,Expt2_Cohort1
295,misaligned,different,1.98,R4MQRD,5.7534246575342465,m,Expt2_Cohort2
296,misaligned,different,12.966666666666667,63ZA2G,4.438356164383562,f,Expt2_Cohort2
297,misaligned,different,2.783333333333333,D7cQVV,4.3561643835616435,m,Expt2_Cohort2
298,misaligned,different,2.808,ZcTHZD,4.273972602739726,m,Expt2_Cohort2
299,misaligned,different,4.033333333333333,BHVRZB,6.657534246575342,m,Expt2_Cohort2
300,misaligned,different,1.0459999999999998,FRcVX2,6.0,f,Expt2_Cohort2
301,misaligned,different,2.7816666666666667,XAZZBC,4.027397260273973,m,Expt2_Cohort2
302,misaligned,different,2.3666666666666667,GH7E3L,5.095890410958904,m,Expt2_Cohort2
303,misaligned,different,2.4499999999999997,GXPFJT,4.438356164383562,f,Expt2_Cohort2
304,misaligned,different,2.1799999999999997,UULEZL,4.52054794520548,m,Expt2_Cohort2
305,misaligned,different,5.283333333333334,42SYQN,4.767123287671233,f,Expt2_Cohort2
306,misaligned,different,1.7166666666666666,PdQGGK,4.602739726027397,m,Expt2_Cohort2
307,misaligned,different,9.734,FV6UMK,4.767123287671233,m,Expt2_Cohort2
308,misaligned,different,2.4200000000000004,P53E43,6.904109589041096,f,Expt2_Cohort2
309,misaligned,different,1.3999999999999997,BM53dR,4.52054794520548,m,Expt2_Cohort2
310,misaligned,different,1.7333333333333332,YUCc6Z,6.986301369863014,f,Expt2_Cohort2
311,misaligned,different,1.0999999999999999,KUJ4UH,4.438356164383562,m,Expt2_Cohort2
312,misaligned,different,1.2366666666666666,24DFVB,5.589041095890411,m,Expt2_Cohort2
